Раздел;Подраздел;Исследование;Параметр;Норма;Единицы измерения;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;ГлДГ (глутаматдегидрогеназа, GLDH) (Жен. от 15 до 99 лет);0.0-4.5;Ед/л;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;ГлДГ (глутаматдегидрогеназа, GLDH) (Люб. от 0 дней до 1 месяца);0.0-9.8;Ед/л;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;ГлДГ (глутаматдегидрогеназа, GLDH) (Люб. от 1 месяца до 7 месяцев);0.0-6.4;Ед/л;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;ГлДГ (глутаматдегидрогеназа, GLDH) (Люб. от 13 месяцев до 7 месяцев);0.0-4.19;Ед/л;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;ГлДГ (глутаматдегидрогеназа, GLDH) (Люб. от 2 до 4 лет);0.0-3.8;Ед/л;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;ГлДГ (глутаматдегидрогеназа, GLDH) (Люб. от 4 до 15 лет);0.0-3.2;Ед/л;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;ГлДГ (глутаматдегидрогеназа, GLDH) (Люб. от 7 до 13 месяцев);0.0-5.2;Ед/л;
Биохимические исследования крови;Ферменты;Определние уровня глутаматдегидрогеназы (ГлДГ, GLDH) в крови;ГлДГ (глутаматдегидрогеназа, GLDH) (Муж. от 15 до 99 лет);0.0-6.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности общей кислой фосфатазы крови;Кислая фосфатаза общая (Жен. от 0 до 99 лет);0.0-6.5;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности общей кислой фосфатазы крови;Кислая фосфатаза общая (Муж. от 0 до 99 лет);0.0-6.6;Ед/л;
Биохимические исследования крови;Ферменты;Определние активности креатинкиназы в крови;Креатинфосфокиназа (Жен. от 0 до 99 лет);26.0-192.0;Ед/л;
Биохимические исследования крови;Ферменты;Определние активности креатинкиназы в крови;Креатинфосфокиназа (Муж. от 0 до 99 лет);39.0-308.0;Ед/л;
Биохимические исследования крови;Ферменты;Исследование уровня/активности изоферментов креатинкиназы в крови;Креатинфосфокиназа MB-фракция;0.0-5.0;нг/мл;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;ЛДГ (лактатдегидрогеназа) (Жен. от 11 до 15 лет);260.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;ЛДГ (лактатдегидрогеназа) (Жен. от 19 до 99 лет);135.0-214.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;ЛДГ (лактатдегидрогеназа) (Люб. от 0 до 15 дней);1128.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;ЛДГ (лактатдегидрогеназа) (Люб. от 1 года до 11 лет);305.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;ЛДГ (лактатдегидрогеназа) (Люб. от 15 дней до 1 года);424.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;ЛДГ (лактатдегидрогеназа) (Люб. от 15 до 19 лет);240.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;ЛДГ (лактатдегидрогеназа) (Муж. от 11 до 15 лет);270.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности лактатдегидрогеназы в крови;ЛДГ (лактатдегидрогеназа) (Муж. от 19 до 99 лет);135.0-225.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности фракций лактатдегидрогеназы;ЛДГ-1-2 (гидроксибутиратдегидрогеназа);72.0-182.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности липазы в сыворотке крови;Липаза;13.0-60.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 1 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 2 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 3 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 4 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 5 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 6 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 7 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 8 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 9 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 10 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 11 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 12 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (I тр., 13 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 14 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 15 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 16 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 17 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 18 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 19 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 20 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 21 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 22 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 23 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 24 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 25 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (II тр., 26 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 27 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 28 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 29 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 30 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 31 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 32 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 33 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 34 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 35 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 36 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 37 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 38 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 39 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 40 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (III тр., 41 неделя);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (Жен. от 0 до 16 лет);5320.0-12920.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (Жен. от 16 до 40 лет);4260.0-11250.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (Жен. от 40 до 99 лет);5320.0-12920.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (Муж. от 0 до 16 лет);5320.0-12920.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности холинэстеразы в крови;Холинэстераза (Люб. от 0 до 16 лет, оральные контрацептивы);3650.0-9120.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Жен. от 13 до 15 лет);62.0-267.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Жен. от 15 до 17 лет);55.0-124.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Жен. от 17 до 19 лет);50.0-93.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Жен. от 19 до 99 лет);35.0-104.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Люб. от 0 до 15 дней);89.0-260.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Люб. от 1 года до 10 лет);150.0-350.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Люб. от 10 до 13 лет);136.0-435.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Люб. от 15 дней до 1 года);130.0-490.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Муж. от 13 до 15 лет);123.0-489.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Муж. от 15 до 17 лет);88.0-346.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Муж. от 17 до 19 лет);60.0-158.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности щелочной фосфатазы в крови;Щелочная фосфатаза (Муж. от 19 до 99 лет);40.0-129.0;Ед/л;
